OpI	0	1
OpI	0	2
OpI	0	3
OpI	0	4
OpI	0	5
OpI	0	6
OpI	0	7
OpI	1	8
OpI	0	9
OpI	1	10
OpI	0	11
OpI	0	12
OpI	0	13
OpI	1	14
OpI	0	15
OpI	0	16
OpI	1	17
OpI	2	18
OpI	0	19
OpI	1	20
OpI	1	21
OpI	1	22
OpI	2	23
OpI	2	24
OpI	0	25
OpI	1	26
OpI	1	27
OpI	0	28
OpI	0	29
OpI	1	30
OpI	4	31
OpI	0	32
OpI	1	33
OpI	2	34
OpI	5	35
OpI	0	36
OpI	2	37
OpI	1	38
OpI	0	39
OpI	1	40
OpI	3	41
OpI	0	42
OpI	0	43
OpI	0	44
OpI	0	45
OpI	0	46
OpI	2	47
OpI	1	48
OpI	1	49
OpI	0	50
OpI	4	51
OpI	3	52
OpI	1	53
OpI	3	54
OpI	0	55
OpI	1	56
OpI	3	57
OpI	1	58
OpI	0	59
OpI	0	60
OpI	0	61
OpI	1	62
OpI	0	63
OpI	4	64
OpI	3	65
OpI	1	66
OpI	0	67
OpI	0	68
OpI	2	69
OpI	6	70
OpI	1	71
OpI	1	72
OpI	0	73
OpI	3	74
OpI	0	75
OpI	2	76
OpI	0	77
OpI	0	78
OpI	1	79
OpI	0	80
OpI	1	81
OpI	3	82
OpI	1	83
OpI	1	84
OpI	0	85
OpI	2	86
OpI	1	87
OpI	0	88
OpI	1	89
OpI	0	90
OpI	1	91
OpI	0	92
OpI	1	93
OpI	3	94
OpI	0	95
OpI	1	96
OpI	3	97
OpI	1	98
OpI	1	99
OpI	1	100
OpI	1	101
OpI	2	102
OpI	2	103
OpI	1	104
OpI	0	105
OpI	4	106
OpI	5	107
OpI	0	108
OpI	1	109
OpI	0	110
OpI	4	111
OpI	2	112
OpI	0	113
OpI	1	114
OpI	0	115
OpI	2	116
OpI	4	117
OpI	1	118
OpI	1	119
OpI	2	120
OpI	0	121
OpI	0	122
OpI	1	123
OpI	1	124
OpI	0	125
OpI	0	126
OpI	5	127
OpI	1	128
OpI	0	129
OpI	1	130
OpI	5	131
OpI	1	132
OpI	2	133
OpI	0	134
OpI	1	135
OpI	2	136
OpI	2	137
OpI	2	138
OpI	2	139
OpI	2	140
OpI	0	141
OpI	1	142
OpI	2	143
OpI	1	144
OpI	6	145
OpI	2	146
OpI	0	147
OpI	0	148
OpI	0	149
OpI	1	150
OpI	1	151
OpI	3	152
